schema_version,rule_id,scope,fact_field,operator,canonical_term,value,action,risk_category,source_type,decision_ref,evidence_ref,note
GUARDRAIL_RULE_V2_V2,PH-V2-INGREDIENT-GABA-001,PH_BLOCK,ingredient_safety,contains_term,GABA,GABA,BLOCK,regulated_ingredient,community_report,DEC-0042,ART-PH-GABA-FREEZE-OWNER-ATTESTATION-V1,Owner operational BLOCK; not a Shopee official prohibition claim
GUARDRAIL_RULE_V2_V2,PH-V2-INGREDIENT-GABA-002,PH_BLOCK,ingredient_safety,contains_term,GABA,gamma-aminobutyric acid,BLOCK,regulated_ingredient,community_report,DEC-0042,ART-PH-GABA-FREEZE-OWNER-ATTESTATION-V1,Owner operational BLOCK; not a Shopee official prohibition claim
GUARDRAIL_RULE_V2_V2,PH-V2-INGREDIENT-GABA-003,PH_BLOCK,ingredient_safety,contains_term,GABA,gamma aminobutyric acid,BLOCK,regulated_ingredient,community_report,DEC-0042,ART-PH-GABA-FREEZE-OWNER-ATTESTATION-V1,Owner operational BLOCK; not a Shopee official prohibition claim
GUARDRAIL_RULE_V2_V2,PH-V2-INGREDIENT-GABA-004,PH_BLOCK,ingredient_safety,contains_term,GABA,γ-アミノ酪酸,BLOCK,regulated_ingredient,community_report,DEC-0042,ART-PH-GABA-FREEZE-OWNER-ATTESTATION-V1,Owner operational BLOCK; not a Shopee official prohibition claim
GUARDRAIL_RULE_V2_V2,PH-V2-INGREDIENT-GABA-005,PH_BLOCK,ingredient_safety,contains_term,GABA,ガンマアミノ酪酸,BLOCK,regulated_ingredient,community_report,DEC-0042,ART-PH-GABA-FREEZE-OWNER-ATTESTATION-V1,Owner operational BLOCK; not a Shopee official prohibition claim
GUARDRAIL_RULE_V2_V2,PH-V2-INGREDIENT-GABA-006,PH_BLOCK,ingredient_safety,contains_term,GABA,ギャバ,BLOCK,regulated_ingredient,community_report,DEC-0042,ART-PH-GABA-FREEZE-OWNER-ATTESTATION-V1,Owner operational BLOCK; not a Shopee official prohibition claim
GUARDRAIL_RULE_V2_V2,PH-V2-PRODUCT-TEXT-HEMP-001,PH_BLOCK,product_text,contains,hemp,hemp,BLOCK,drug_or_hemp,internal_rule,DEC-0050,OWNER_APPROVED_PH_HEMP_BOUNDARY,Owner-approved literal substring BLOCK for PH product text; includes hemp-free and hempseed
